action,step,count,avg,std
CASH_OUT,373,87,217251.075,155373.8216
CASH_OUT,374,75,199974.1854,141344.4589
CASH_OUT,375,318,192091.0387,133392.5858
CASH_OUT,376,148,200646.3504,143804.2115
CASH_OUT,379,166,138981.8943,96914.12968
CASH_OUT,380,1214,127361.5277,89897.68293
CASH_OUT,381,587,112885.7475,79377.62239
CASH_OUT,382,293,103794.2647,70866.45563
CASH_OUT,383,96,170753.3171,121405.7754
CASH_OUT,384,34,87120.13285,57152.76939
CASH_OUT,385,8,86617.42477,50569.63907
CASH_OUT,386,2,83827.96318,66623.63605
CASH_OUT,394,314,204036.7653,144348.5261
CASH_OUT,396,173,194134.7152,134969.7564
CASH_OUT,397,239,204744.8842,142961.2806
CASH_OUT,403,485,141229.6456,98428.72236
CASH_OUT,404,1100,115700.1093,82199.06119
CASH_OUT,405,632,112855.1383,78738.84629
CASH_OUT,406,323,131303.4183,94431.40442
CASH_OUT,407,121,87436.25802,58736.16638
CASH_OUT,408,72,221705.8207,166158.9657
CASH_OUT,409,4,100457.3664,74119.67529
CASH_OUT,416,80,156281.9693,114124.6323
CASH_OUT,419,86,171258.5545,120584.5639
CASH_OUT,420,178,205250.3356,142218.6069
CASH_OUT,422,87,207613.3015,150683.4408
CASH_OUT,423,57,198113.2286,137266.1292
CASH_OUT,426,368,173628.1665,121668.8748
CASH_OUT,428,173,109543.6847,78197.21948
CASH_OUT,429,109,89017.33759,59331.55683
CASH_OUT,431,29,88370.92057,58270.99117
CASH_OUT,436,1,22212.70333,10766.73225
CASH_OUT,439,1,107124.7853,68475.08503
CASH_OUT,442,78,133285.8187,89770.86515
CASH_OUT,445,1,169170.9656,106978.2479
CASH_OUT,448,158,138023.9394,95987.44518
CASH_OUT,449,84,166687.7265,117346.0899
CASH_OUT,451,266,113578.4312,80100.06841
CASH_OUT,452,14,156955.9666,109040.0146
CASH_OUT,453,3,106545.2626,62548.08574
CASH_OUT,454,1,42027.79375,31317.11719
CASH_OUT,455,11,58299.31269,40456.20636
CASH_OUT,458,3,100911.7368,38140.15405
CASH_OUT,466,59,187499.2158,124421.3139
CASH_OUT,469,417,195007.4734,136549.6064
CASH_OUT,471,183,196388.7648,139588.123
CASH_OUT,472,4,182366.2284,114162.0984
CASH_OUT,474,193,198464.3493,141348.7561
